target_sex,rate,metric,g1,g2,t,p,p_bh,m1,cil_1,ciu_1,m2,cil_2,ciu_2
F,0.0,auroc,All,M,2.8064432463461455,0.02296860128809029,0.16032034157635014,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8426053374489436,0.8397113113021245,0.8454993635957627
F,0.0,auroc,All,F,-2.622383695721144,0.03053720791930479,0.16032034157635014,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8596723789698029,0.8542562463940342,0.8650885115455715
F,0.05,auroc,All,M,0.5593432334267919,0.5912382100464726,0.9618357814656686,0.8488356782358689,0.8409917454588254,0.8566796110129125,0.8450803821676718,0.8363057368327281,0.8538550275026154
F,0.05,auroc,All,F,-0.3945136573274222,0.7035105568081852,0.9618357814656686,0.8488356782358689,0.8409917454588254,0.8566796110129125,0.8515019268180861,0.8426227836977719,0.8603810699384004
F,0.1,auroc,All,M,0.5447557526471445,0.6007730684774893,0.9618357814656686,0.8527706829476692,0.8403718994891004,0.865169466406238,0.8471978291643175,0.834240734802069,0.8601549235265661
F,0.1,auroc,All,F,-0.5707415801921851,0.5838461713576343,0.9618357814656686,0.8527706829476692,0.8403718994891004,0.865169466406238,0.8587287957077183,0.8452685787121504,0.8721890127032862
F,0.25,auroc,All,M,1.00540308319609,0.34414058363233,0.9033690320348663,0.8423437040430752,0.8395890511059058,0.8450983569802447,0.840343593966115,0.8382048732357202,0.8424823146965098
F,0.25,auroc,All,F,0.04936870311770962,0.9618357814656686,0.9618357814656686,0.8423437040430752,0.8395890511059058,0.8450983569802447,0.8421399452312801,0.8354495231301443,0.8488303673324159
F,0.5,auroc,All,M,0.1269641861399583,0.9021019525326035,0.9618357814656686,0.8365781363090941,0.8268116137868196,0.8463446588313686,0.8356687630049361,0.8277776181664543,0.8435599078434178
F,0.5,auroc,All,F,-0.12874613994750325,0.9007363946413107,0.9618357814656686,0.8365781363090941,0.8268116137868196,0.8463446588313686,0.8378362638315799,0.8237619147911233,0.8519106128720366
F,0.75,auroc,All,M,-0.3547776152643243,0.7319270788315715,0.9618357814656686,0.8452979756785994,0.8320042639427747,0.8585916874144242,0.8488233701493868,0.8375659878103117,0.8600807524884619
F,0.75,auroc,All,F,-0.056239556367642315,0.9565302150812565,0.9618357814656686,0.8452979756785994,0.8320042639427747,0.8585916874144242,0.8459810663791927,0.8293481510750138,0.8626139816833716
F,1.0,auroc,All,M,-10.05145419407897,8.168985377449213e-06,0.00017154869292643345,0.791271200055338,0.7826674373736486,0.7998749627370274,0.8500542506114602,0.8444790821643582,0.8556294190585623
F,1.0,auroc,All,F,2.8260205590092466,0.022286317477649555,0.16032034157635014,0.791271200055338,0.7826674373736486,0.7998749627370274,0.7666810403578553,0.7540852145600571,0.7792768661556536
F,0.0,fnr,All,M,-0.17010451278513777,0.8691510263330736,0.9618357814656686,0.18126501200960765,0.1696180098680379,0.1929120141511774,0.1829207920792079,0.17044977875979056,0.19539180539862522
F,0.0,fnr,All,F,0.2553792899258873,0.8048733199898483,0.9618357814656686,0.18126501200960765,0.1696180098680379,0.1929120141511774,0.17823129251700676,0.16096793203616125,0.19549465299785226
F,0.05,fnr,All,M,1.0575936718429464,0.32112736789346263,0.9033690320348663,0.20208166533226576,0.18996219623013688,0.21420113443439465,0.1908415841584158,0.17669080131008974,0.20499236700674184
F,0.05,fnr,All,F,-2.0189575197397507,0.0781848889893027,0.32837653375507136,0.20208166533226576,0.18996219623013688,0.21420113443439465,0.2226757369614512,0.209527632192352,0.23582384173055043
F,0.1,fnr,All,M,0.531620568912019,0.6094293231642055,0.9618357814656686,0.20656525220176136,0.1685808921492894,0.24454961225423333,0.19207920792079203,0.16311348910300053,0.22104492673858353
F,0.1,fnr,All,F,-0.6960857147281688,0.5060911467248337,0.9618357814656686,0.20656525220176136,0.1685808921492894,0.24454961225423333,0.2331065759637188,0.1781055440283792,0.2881076078990584
F,0.25,fnr,All,M,1.0223813017266343,0.33651901504631226,0.9033690320348663,0.2277021617293835,0.19988264685876653,0.25552167660000047,0.20569306930693063,0.18019299478794473,0.23119314382591652
F,0.25,fnr,All,F,-1.5650282208130097,0.15620746637052588,0.2523351379831572,0.2277021617293835,0.19988264685876653,0.25552167660000047,0.26802721088435366,0.23244121173000248,0.30361321003870484
F,0.5,fnr,All,M,3.5765786652259077,0.007224149539756964,0.021672448619270892,0.2145716573258607,0.19936391677898238,0.22977939787273902,0.17450495049504947,0.16207931396643174,0.1869305870236672
F,0.5,fnr,All,F,-3.980854168341599,0.004056847318063046,0.017038758735864794,0.2145716573258607,0.19936391677898238,0.22977939787273902,0.2879818594104308,0.25945472754901666,0.31650899127184495
F,0.75,fnr,All,M,2.2680095346634346,0.05305499828007173,0.10128681489831876,0.21072858286629303,0.1736804762118248,0.24777668952076126,0.1527227722772277,0.12747126774107945,0.17797427681337594
F,0.75,fnr,All,F,-2.6512910292145166,0.029197261019051953,0.0681269423777879,0.21072858286629303,0.1736804762118248,0.24777668952076126,0.3170068027210884,0.2572946758372452,0.3767189296049316
F,1.0,fnr,All,M,25.605874964810486,5.801471083399932e-09,1.2183089275139857e-07,0.33706965572457964,0.33252160504260486,0.3416177064065544,0.1574257425742574,0.14599867088192997,0.16885281426658483
F,1.0,fnr,All,F,-18.953679816721078,6.211957958869864e-08,6.522555856813357e-07,0.33706965572457964,0.33252160504260486,0.3416177064065544,0.6662131519274377,0.636111984500683,0.6963143193541924
F,0.0,fomr,All,M,-3.304252818155869,0.010790225409681508,0.02832434170041396,0.06802401821958376,0.06431622194685106,0.07173181449231646,0.07803852932938012,0.07423307488038927,0.08184398377837096
F,0.0,fomr,All,F,3.6392297592128453,0.006596311347282889,0.021672448619270892,0.06802401821958376,0.06431622194685106,0.07173181449231646,0.054780796679401736,0.04958960148614014,0.05997199187266333
F,0.05,fomr,All,M,-1.6506237721325479,0.13742204003768882,0.24048857006595542,0.07349597173178637,0.06918134012029936,0.07781060334327339,0.08016015884261042,0.0745496511854578,0.08577066649976305
F,0.05,fomr,All,F,2.5708923523496523,0.03308161339864737,0.06947138813715947,0.07349597173178637,0.06918134012029936,0.07781060334327339,0.06500840769461548,0.0611510376781029,0.06886577771112806
F,0.1,fomr,All,M,-0.7013351790685843,0.5029811964705725,0.5559265855727381,0.07308463805421975,0.06249574458938477,0.08367353151905473,0.07872579419140333,0.06941448850450596,0.08803709987830069
F,0.1,fomr,All,F,0.7710199413039759,0.46285670428381054,0.5463480070060038,0.07308463805421975,0.06249574458938477,0.08367353151905473,0.06587342431602175,0.053355373689056976,0.07839147494298652
F,0.25,fomr,All,M,-0.7613435711384119,0.4682982917194318,0.5463480070060038,0.07994686434861642,0.07333415071680367,0.08655957798042917,0.084031818183971,0.07734282383504569,0.09072081253289631
F,0.25,fomr,All,F,0.9224822085737071,0.38325498610051545,0.5463480070060038,0.07994686434861642,0.07333415071680367,0.08655957798042917,0.07479130612654175,0.06756212640032158,0.08202048585276192
F,0.5,fomr,All,M,0.2653601178424062,0.7974418189717037,0.837313909920289,0.07869905312510186,0.07457086939256641,0.08282723685763732,0.07789843384254982,0.07459194069028396,0.08120492699481568
F,0.5,fomr,All,F,-0.18926683414113138,0.8545973555276616,0.8545973555276616,0.07869905312510186,0.07457086939256641,0.08282723685763732,0.0795271218239437,0.07306305392230336,0.08599118972558403
F,0.75,fomr,All,M,0.8960309273425182,0.39639669816335277,0.5463480070060038,0.07609786391451803,0.06535937322589933,0.08683635460313674,0.06887360994881232,0.0596837820863225,0.07806343781130215
F,0.75,fomr,All,F,-0.8216022911264884,0.43510316842024266,0.5463480070060038,0.07609786391451803,0.06535937322589933,0.08683635460313674,0.08384857062291443,0.07127171241276713,0.09642542883306172
F,1.0,fomr,All,M,16.082244162090344,2.2428789200454468e-07,1.570015244031813e-06,0.11049565912009478,0.10833277352381046,0.1126585447163791,0.06972569898815559,0.0658434040205997,0.07360799395571148
F,1.0,fomr,All,F,-12.073352286674016,2.0465522492718064e-06,1.0744399308676984e-05,0.11049565912009478,0.10833277352381046,0.1126585447163791,0.14769649972718213,0.14274689269449906,0.1526461067598652
M,0.0,auroc,All,M,2.8064432463461455,0.02296860128809029,0.18431328885517662,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8426053374489436,0.8397113113021245,0.8454993635957627
M,0.0,auroc,All,F,-2.622383695721144,0.03053720791930479,0.18431328885517662,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8596723789698029,0.8542562463940342,0.8650885115455715
M,0.05,auroc,All,M,2.389586913565232,0.04388411639408967,0.18431328885517662,0.8527321787188591,0.850563988691177,0.8549003687465412,0.8468817052741734,0.8431776065036448,0.850585804044702
M,0.05,auroc,All,F,-2.43325163531144,0.04099377351387253,0.18431328885517662,0.8527321787188591,0.850563988691177,0.8549003687465412,0.8596954264401571,0.8551714674587089,0.8642193854216053
M,0.1,auroc,All,M,0.4678303831302048,0.6523859866239401,0.9824532176850637,0.8471943370664687,0.8358330363924587,0.8585556377404788,0.8428493637975022,0.8311872515539984,0.854511476041006
M,0.1,auroc,All,F,-0.6156050576402511,0.5552599518788727,0.9824532176850637,0.8471943370664687,0.8358330363924587,0.8585556377404788,0.8528596210797617,0.8414057357291942,0.8643135064303291
M,0.25,auroc,All,M,2.1378581334545057,0.06499283058301222,0.19497849174903667,0.8418441051131703,0.8375173568809212,0.8461708533454194,0.8352556471337425,0.8320204211696768,0.8384908730978081
M,0.25,auroc,All,F,-1.8753597034343343,0.09759951601538386,0.25619872954038264,0.8418441051131703,0.8375173568809212,0.8461708533454194,0.8525333630720047,0.8435266441359426,0.8615400820080668
M,0.5,auroc,All,M,0.19291191214836315,0.8518354448674663,0.9824532176850637,0.8121889129191435,0.7937948773654854,0.8305829484728017,0.8092058217497293,0.7892931732309494,0.8291184702685093
M,0.5,auroc,All,F,-0.9484901390740632,0.37064752499731135,0.7783598024943539,0.8121889129191435,0.7937948773654854,0.8305829484728017,0.8275816264575047,0.8058782502617342,0.8492850026532751
M,0.75,auroc,All,M,0.02269009641048876,0.9824532176850637,0.9824532176850637,0.7918909981649567,0.7710379089915056,0.8127440873384078,0.7914317496886928,0.7627246080040361,0.8201388913733495
M,0.75,auroc,All,F,-2.1748160461028916,0.06135624265254683,0.19497849174903667,0.7918909981649567,0.7710379089915056,0.8127440873384078,0.8273759339801494,0.8077981005823649,0.8469537673779339
M,1.0,auroc,All,M,-0.9963955482410677,0.34823726605015265,0.7783598024943539,0.7126661291571305,0.6617804610643158,0.7635517972499452,0.7507531201706815,0.7071531798664764,0.7943530604748866
M,1.0,auroc,All,F,-3.6531734490045347,0.006464648066093127,0.13575760938795567,0.7126661291571305,0.6617804610643158,0.7635517972499452,0.8234613335315911,0.8080535597898869,0.8388691072732953
M,0.0,fnr,All,M,-0.17010451278513777,0.8691510263330736,0.9824532176850637,0.18126501200960765,0.1696180098680379,0.1929120141511774,0.1829207920792079,0.17044977875979056,0.19539180539862522
M,0.0,fnr,All,F,0.2553792899258873,0.8048733199898483,0.9824532176850637,0.18126501200960765,0.1696180098680379,0.1929120141511774,0.17823129251700676,0.16096793203616125,0.19549465299785226
M,0.05,fnr,All,M,0.3103640108777527,0.7642158213780137,0.9824532176850637,0.20864691753402717,0.1864964632285768,0.23079737183947754,0.2032178217821782,0.18201106076745902,0.2244245827968974
M,0.05,fnr,All,F,-0.5005310854700428,0.6301785008942673,0.9824532176850637,0.20864691753402717,0.1864964632285768,0.23079737183947754,0.21859410430838996,0.19170368942012908,0.24548451919665085
M,0.1,fnr,All,M,0.13755818274401113,0.8939887567454261,0.9824532176850637,0.20272217774219375,0.18866975600824298,0.21677459947614452,0.20099009900990095,0.18396729773020806,0.21801290028959383
M,0.1,fnr,All,F,-0.21954324474496603,0.8317250626837767,0.9824532176850637,0.20272217774219375,0.18866975600824298,0.21677459947614452,0.20589569160997728,0.184808606951863,0.22698277626809157
M,0.25,fnr,All,M,-0.06120657604883896,0.9526961787900288,0.9824532176850637,0.16669335468374696,0.14013899931292295,0.19324771005457098,0.16806930693069305,0.1389496131989101,0.197189000662476
M,0.25,fnr,All,F,0.12462452382952728,0.9038954230749687,0.9038954230749687,0.16669335468374696,0.14013899931292295,0.19324771005457098,0.164172335600907,0.14066842064576368,0.1876762505560503
M,0.5,fnr,All,M,-0.9282158233605933,0.3804488575326104,0.3994713004092409,0.2092874299439551,0.18650995629347888,0.23206490359443133,0.22574257425742572,0.20460028176752182,0.24688486674732962
M,0.5,fnr,All,F,1.207546252512444,0.2617078665009467,0.28925606297473055,0.2092874299439551,0.18650995629347888,0.23206490359443133,0.1791383219954648,0.1417633713742332,0.21651327261669642
M,0.75,fnr,All,M,-1.4217133920407594,0.19290064658274175,0.2382890340139751,0.22145716573258606,0.184043434331084,0.2588708971340881,0.2688118811881188,0.22398225199604746,0.3136415103801901
M,0.75,fnr,All,F,2.945513430884749,0.018552529441682276,0.05565758832504683,0.22145716573258606,0.184043434331084,0.2588708971340881,0.13469387755102033,0.09910343819462375,0.1702843169074169
M,1.0,fnr,All,M,-1.2789826575463867,0.23675277113504894,0.2762115663242238,0.4270616493194555,0.29093047116307386,0.5631928274758371,0.5893564356435643,0.4134233840290068,0.7652894872581218
M,1.0,fnr,All,F,3.355042407587127,0.010005120765607207,0.04334308853111463,0.4270616493194555,0.29093047116307386,0.5631928274758371,0.12970521541950109,0.05481381226663842,0.20459661857236375
M,0.0,fomr,All,M,-3.304252818155869,0.010790225409681508,0.04334308853111463,0.06802401821958376,0.06431622194685106,0.07173181449231646,0.07803852932938012,0.07423307488038927,0.08184398377837096
M,0.0,fomr,All,F,3.6392297592128453,0.006596311347282889,0.04334308853111463,0.06802401821958376,0.06431622194685106,0.07173181449231646,0.054780796679401736,0.04958960148614014,0.05997199187266333
M,0.05,fomr,All,M,-1.8886521045685172,0.09562408593750113,0.14343612890625168,0.0739745586587767,0.06865359487747266,0.07929552244008073,0.08238131874120459,0.07667374109016553,0.08808889639224365
M,0.05,fomr,All,F,2.4358633760599147,0.04082709891429822,0.09526323080002919,0.0739745586587767,0.06865359487747266,0.07929552244008073,0.06300454904643286,0.05717214443249945,0.06883695366036628
M,0.1,fomr,All,M,-2.331330281971458,0.04806177639164649,0.10092973042245762,0.07361154095550801,0.06952693015803169,0.07769615175298433,0.08288066833148759,0.07723303035227455,0.08852830631070063
M,0.1,fomr,All,F,3.212177739371235,0.012383739580318466,0.04334308853111463,0.07361154095550801,0.06952693015803169,0.07769615175298433,0.06125381054202774,0.055887194876506875,0.06662042620754861
M,0.25,fomr,All,M,-1.4336148082219773,0.18958587686655315,0.2382890340139751,0.06425288248197494,0.05699565979307482,0.07151010517087507,0.0733773583514015,0.064902485846031,0.08185223085677198
M,0.25,fomr,All,F,2.2480354769955126,0.05473484182416385,0.10449378893704007,0.06425288248197494,0.05699565979307482,0.07151010517087507,0.0521352660292306,0.046083401141859014,0.05818713091660218
M,0.5,fomr,All,M,-2.118527659712176,0.0669785100498351,0.11721239258721142,0.08078648653113879,0.0719611335165144,0.08961183954576318,0.0952002611474089,0.08717716661768651,0.10322335567713128
M,0.5,fomr,All,F,2.468533077680608,0.03879908579028256,0.09526323080002919,0.08078648653113879,0.0719611335165144,0.08961183954576318,0.059654637383875095,0.04751705679951773,0.07179221796823246
M,0.75,fomr,All,M,-2.004561576344749,0.07994918708645055,0.12914868683195857,0.0868989059435846,0.0740097134844451,0.0997880984027241,0.109313132498988,0.0945448586828325,0.1240814063151435
M,0.75,fomr,All,F,3.7995582692842245,0.0052399586369037765,0.04334308853111463,0.0868989059435846,0.0740097134844451,0.0997880984027241,0.049293673173254345,0.037678881489650345,0.060908464856858344
M,1.0,fomr,All,M,-1.4624033583189269,0.1817744284625947,0.2382890340139751,0.13812098659583638,0.10998486292517708,0.1662571102664957,0.17561205163035515,0.1405670245976214,0.2106570786630889
M,1.0,fomr,All,F,4.697960810930441,0.0015455301691180093,0.032456133551478195,0.13812098659583638,0.10998486292517708,0.1662571102664957,0.047533235213064344,0.02879849593979391,0.06626797448633479
